,Unnamed: 0,start_node,end_node,weight,answer,score,sentiment,category,sentence
0,2.0,changing market conditions,risk,1,changing market conditions,0.8165565133094788,"{'neg': 0.0, 'neu': 0.709, 'pos': 0.291, 'compound': 0.9538}",,"Many variables, such as changes in interest rates, mortality rates, health care costs, investment returns and/or the market value of plan assets, can affect the funded status of our defined benefit pension, other postretirement, and postemployment benefit plans and cause volatility in the net periodic benefit cost and future funding requirements of the plans."
1,4.0,Social media,risk,1,Social media,0.7563470602035522,"{'neg': 0.0, 'neu': 0.882, 'pos': 0.118, 'compound': 0.5859}",,"In addition, we or our senior executives may from time to time take positions on social issues that may be unpopular with some customers or potential customers, which may impact our ability to attract or retain such customers."
2,7.0,industry consolidation,risk,1,industry consolidation,0.340876579284668,"{'neg': 0.097, 'neu': 0.791, 'pos': 0.112, 'compound': 0.2023}",,"Any of the foregoing results can impact, and have adversely impacted in the past, our net revenues, margins and ability to operate efficiently.We are a global company with significant revenues and earnings generated internationally, which exposes us to the impact of foreign currency fluctuations, as well as political and economic risks."
3,17.0,Increases in raw material costs ,risk,-1,Increases in raw material costs ,0.7929760813713074,"{'neg': 0.197, 'neu': 0.725, 'pos': 0.078, 'compound': -0.7506}",,"These factors may also have an adverse impact on our cash and working capital needs as well as those of our suppliers.Our business is subject to risks associated with sourcing and manufacturing overseas, as well as risks associated with potential tariffs or a global trade war."
4,18.0, wage rates,risk,-1, wage rates,0.7929760813713074,"{'neg': 0.197, 'neu': 0.725, 'pos': 0.078, 'compound': -0.7506}",,"These factors may also have an adverse impact on our cash and working capital needs as well as those of our suppliers.Our business is subject to risks associated with sourcing and manufacturing overseas, as well as risks associated with potential tariffs or a global trade war."
5,19.0,Fluctuations in product costs,risk,-1,Fluctuations in product costs,0.7345564961433411,"{'neg': 0.0, 'neu': 0.887, 'pos': 0.113, 'compound': 0.4939}",,We also monitor ongoing global trade regulations to optimize our supply chain networks in response to changes in tariffs or other trade policies around the world.
6,23.0,economic conditions,risk,-1,economic conditions,0.6865958571434021,"{'neg': 0.188, 'neu': 0.812, 'pos': 0.0, 'compound': -0.5859}",,"Consumer purchases of discretionary items, including our products, generally decline during periods when disposable income is adversely affected, there is economic uncertainty or volatility or during recessionary periods."
7,24.0,Increases in market interest rates,risk,-1,Increases in market interest rates,0.6179454326629639,"{'neg': 0.065, 'neu': 0.753, 'pos': 0.182, 'compound': 0.5423}",,"Our ability to satisfy our obligations and to reduce our total debt depends on our future operating performance and on economic, financial, competitive and other factors, many of which are beyond our control."
8,25.0,Failure to compete effectively,risk,-1,Failure to compete effectively,0.5187002420425415,"{'neg': 0.039, 'neu': 0.729, 'pos': 0.232, 'compound': 0.8126}",,The success of our business depends upon our ability to forecast and respond timely to consumer demand and market conditions and offer on-trend and new and updated products at attractive price points.
9,30.0,changing market conditions,sales,1,changing market conditions,0.6807117462158203,"{'neg': 0.0, 'neu': 0.709, 'pos': 0.291, 'compound': 0.9538}",,"Many variables, such as changes in interest rates, mortality rates, health care costs, investment returns and/or the market value of plan assets, can affect the funded status of our defined benefit pension, other postretirement, and postemployment benefit plans and cause volatility in the net periodic benefit cost and future funding requirements of the plans."
10,32.0,competition,sales,1,competition,0.5432878136634827,"{'neg': 0.124, 'neu': 0.779, 'pos': 0.097, 'compound': -0.9668}",,"â€¢the COVID-19 pandemic has had, and will likely continue to have, an adverse effect on the global economy, our business and results of operations;
â€¢our success depends on our ability to maintain the value and reputation of our brands;
â€¢our revenues are influenced by economic conditions that impact consumer spending and consumer confidence and an extended period of global supply chain and economic disruption could materially affect our business, results of operations, access to sources of liquidity and financial condition;
â€¢intense competition in the global apparel industry could lead to reduced sales and prices;
â€¢failure to forecast and respond timely to consumer demand and market conditions and offer on-trend and new and updated products at attractive price points could adversely affect our image and reputation and sales, margins and profitability;
â€¢we depend on a group of key wholesale customers for a significant portion of our revenues, and a significant adverse change in a customer relationship or in a customerâ€™s performance or financial position could harm our business and financial condition;
â€¢our efforts to expand our retail business may not be successful, which could impact our operating results;
â€¢if the implementation of our customer, digital, and omni-channel initiatives is not successful, if we are unable to effectively execute our e-commerce business, or we do not realize the return on our investments in these initiatives that we anticipate, our reputation and operating results would be adversely affected;
â€¢we may be unable to maintain or increase our sales through our third-party distribution channels, which can impact, and has adversely impacted in the past, our net revenues and margins;
â€¢we are a global company with significant revenues and earnings generated internationally, which exposes us to the impact of foreign currency fluctuations, changes to trade policy (including tariff, sanctions and customs regulations) and other domestic and foreign laws and regulations (including tax reform legislation), as well as political and economic risks;
â€¢if we encounter problems with our distribution system, whether company-owned or third-party, our ability to meet customer and consumer expectations, manage inventory, complete sales and achieve operating efficiencies could be adversely affected;
â€¢we face risks arising from restructuring of our operations and uncertainty with respect to our ability to achieve any anticipated cost savings associated with such restructuring;
â€¢any major disruption or failure of our information technology systems, owned by us and third parties, our failure to successfully implement new technology effectively, and risks related to cybersecurity, privacy and data protection could increase costs and adversely affect our business and operations;
â€¢production sources that fail to meet our quality, cost, social and environmental compliance and risk mitigation, and other requirements, or failures by our contract manufacturers to perform, could harm our sales, service levels and reputation;
â€¢our suppliers may be impacted by economic conditions and cycles and changing laws and regulatory requirements which could impact their ability to do business with us or cause us to terminate our relationship with them and require us to find replacements, which we may have difficulty doing;
â€¢if one or more of our counterparty financial institutions default on their obligations to us, we may incur significant losses;
â€¢the loss of members of our executive management and other key employees or the failure to attract and retain key personnel could harm our business;
â€¢most of the employees in our production and distribution facilities are covered by collective bargaining agreements, and any material job actions could negatively affect our results of operations;
â€¢our licensees and franchisees may not comply with our product quality, manufacturing standards, social, environmental, marketing and other requirements, which could negatively affect our reputation and business;
â€¢our success depends on the continued protection of our trademarks and other proprietary intellectual property rights;
â€¢we have substantial liabilities and cash requirements associated with our postretirement benefits, pension and deferred compensation plans;
â€¢natural disasters, public health crises, including the COVID-19 pandemic, political crises, and other catastrophic events or other events outside of our control may damage our facilities or the facilities of third parties on which we depend, and could impact consumer spending;
â€¢our products may experience quality problems that could result in negative publicity, litigation, product recalls and warranty claims, which could result in decreased revenues and harm to our brands;
â€¢climate change may adversely impact our business;
â€¢we have debt and interest payment requirements at a level that may restrict our future operations and restrictions in our notes, indentures and credit facility may limit our activities, including dividend payments, share repurchases and acquisitions; and
â€¢increases in the price or availability of raw materials could increase our cost of goods and negatively impact our financial results.We are subject to periodic claims and litigation that could result in unexpected expenses and could ultimately be resolved against us."
11,33.0,third-party distribution channels,sales,1,third-party distribution channels,0.5080201625823975,"{'neg': 0.124, 'neu': 0.779, 'pos': 0.097, 'compound': -0.9668}",,"â€¢the COVID-19 pandemic has had, and will likely continue to have, an adverse effect on the global economy, our business and results of operations;
â€¢our success depends on our ability to maintain the value and reputation of our brands;
â€¢our revenues are influenced by economic conditions that impact consumer spending and consumer confidence and an extended period of global supply chain and economic disruption could materially affect our business, results of operations, access to sources of liquidity and financial condition;
â€¢intense competition in the global apparel industry could lead to reduced sales and prices;
â€¢failure to forecast and respond timely to consumer demand and market conditions and offer on-trend and new and updated products at attractive price points could adversely affect our image and reputation and sales, margins and profitability;
â€¢we depend on a group of key wholesale customers for a significant portion of our revenues, and a significant adverse change in a customer relationship or in a customerâ€™s performance or financial position could harm our business and financial condition;
â€¢our efforts to expand our retail business may not be successful, which could impact our operating results;
â€¢if the implementation of our customer, digital, and omni-channel initiatives is not successful, if we are unable to effectively execute our e-commerce business, or we do not realize the return on our investments in these initiatives that we anticipate, our reputation and operating results would be adversely affected;
â€¢we may be unable to maintain or increase our sales through our third-party distribution channels, which can impact, and has adversely impacted in the past, our net revenues and margins;
â€¢we are a global company with significant revenues and earnings generated internationally, which exposes us to the impact of foreign currency fluctuations, changes to trade policy (including tariff, sanctions and customs regulations) and other domestic and foreign laws and regulations (including tax reform legislation), as well as political and economic risks;
â€¢if we encounter problems with our distribution system, whether company-owned or third-party, our ability to meet customer and consumer expectations, manage inventory, complete sales and achieve operating efficiencies could be adversely affected;
â€¢we face risks arising from restructuring of our operations and uncertainty with respect to our ability to achieve any anticipated cost savings associated with such restructuring;
â€¢any major disruption or failure of our information technology systems, owned by us and third parties, our failure to successfully implement new technology effectively, and risks related to cybersecurity, privacy and data protection could increase costs and adversely affect our business and operations;
â€¢production sources that fail to meet our quality, cost, social and environmental compliance and risk mitigation, and other requirements, or failures by our contract manufacturers to perform, could harm our sales, service levels and reputation;
â€¢our suppliers may be impacted by economic conditions and cycles and changing laws and regulatory requirements which could impact their ability to do business with us or cause us to terminate our relationship with them and require us to find replacements, which we may have difficulty doing;
â€¢if one or more of our counterparty financial institutions default on their obligations to us, we may incur significant losses;
â€¢the loss of members of our executive management and other key employees or the failure to attract and retain key personnel could harm our business;
â€¢most of the employees in our production and distribution facilities are covered by collective bargaining agreements, and any material job actions could negatively affect our results of operations;
â€¢our licensees and franchisees may not comply with our product quality, manufacturing standards, social, environmental, marketing and other requirements, which could negatively affect our reputation and business;
â€¢our success depends on the continued protection of our trademarks and other proprietary intellectual property rights;
â€¢we have substantial liabilities and cash requirements associated with our postretirement benefits, pension and deferred compensation plans;
â€¢natural disasters, public health crises, including the COVID-19 pandemic, political crises, and other catastrophic events or other events outside of our control may damage our facilities or the facilities of third parties on which we depend, and could impact consumer spending;
â€¢our products may experience quality problems that could result in negative publicity, litigation, product recalls and warranty claims, which could result in decreased revenues and harm to our brands;
â€¢climate change may adversely impact our business;
â€¢we have debt and interest payment requirements at a level that may restrict our future operations and restrictions in our notes, indentures and credit facility may limit our activities, including dividend payments, share repurchases and acquisitions; and
â€¢increases in the price or availability of raw materials could increase our cost of goods and negatively impact our financial results.We are subject to periodic claims and litigation that could result in unexpected expenses and could ultimately be resolved against us."
12,37.0, recommerce program,sales,1, recommerce program,0.5061713457107544,"{'neg': 0.0, 'neu': 0.8, 'pos': 0.2, 'compound': 0.6705}",,"In October, we launched the SecondHand recommerce program, which helps us extend the life of denim products and tap into a growing resale market, a step in the direction of developing more circular products and practices."
13,41.0,Changes in foreign currency exchange rates,sales,1,Changes in foreign currency exchange rates,0.2568995058536529,"{'neg': 0.079, 'neu': 0.921, 'pos': 0.0, 'compound': -0.2023}",,"Given the unpredictability and volatility of foreign currency exchange rates, ongoing or unusual volatility may adversely impact our business and financial conditions."
14,45.0,Fluctuations in product costs,sales,-1,Fluctuations in product costs,0.8110207319259644,"{'neg': 0.0, 'neu': 0.887, 'pos': 0.113, 'compound': 0.4939}",,We also monitor ongoing global trade regulations to optimize our supply chain networks in response to changes in tariffs or other trade policies around the world.
15,46.0,Failing to make timely deliveries,sales,-1,Failing to make timely deliveries,0.7757497429847717,"{'neg': 0.0, 'neu': 0.957, 'pos': 0.043, 'compound': 0.3182}",,"If we need to replace any contract manufacturer, we may be unable to locate additional contract manufacturers on terms that are acceptable to us, or at all, or we may be unable to locate additional contract manufacturers with sufficient capacity to meet our requirements or to fill our orders in a timely manner."
16,47.0,Increases in market interest rates,sales,-1,Increases in market interest rates,0.730702817440033,"{'neg': 0.065, 'neu': 0.753, 'pos': 0.182, 'compound': 0.5423}",,"Our ability to satisfy our obligations and to reduce our total debt depends on our future operating performance and on economic, financial, competitive and other factors, many of which are beyond our control."
17,52.0,seasonality,sales,-1,seasonality,0.6842687726020813,"{'neg': 0.072, 'neu': 0.928, 'pos': 0.0, 'compound': -0.4939}",,"This seasonality, along with other factors that are beyond our control, including the COVID-19 pandemic, general economic conditions, changes in consumer preferences, weather conditions, including the effects of climate change, the availability of import quotas, transportation disruptions and foreign currency exchange rate fluctuations, could adversely affect our business and cause our results of operations to fluctuate."
18,55.0,changing market conditions,operations,1,changing market conditions,0.8994547128677368,"{'neg': 0.0, 'neu': 0.709, 'pos': 0.291, 'compound': 0.9538}",,"Many variables, such as changes in interest rates, mortality rates, health care costs, investment returns and/or the market value of plan assets, can affect the funded status of our defined benefit pension, other postretirement, and postemployment benefit plans and cause volatility in the net periodic benefit cost and future funding requirements of the plans."
19,57.0,market interest rates,operations,1,market interest rates,0.5599653720855713,"{'neg': 0.065, 'neu': 0.753, 'pos': 0.182, 'compound': 0.5423}",,"Our ability to satisfy our obligations and to reduce our total debt depends on our future operating performance and on economic, financial, competitive and other factors, many of which are beyond our control."
20,58.0,economic disruption,operations,1,economic disruption,0.4826448559761048,"{'neg': 0.124, 'neu': 0.779, 'pos': 0.097, 'compound': -0.9668}",,"â€¢the COVID-19 pandemic has had, and will likely continue to have, an adverse effect on the global economy, our business and results of operations;
â€¢our success depends on our ability to maintain the value and reputation of our brands;
â€¢our revenues are influenced by economic conditions that impact consumer spending and consumer confidence and an extended period of global supply chain and economic disruption could materially affect our business, results of operations, access to sources of liquidity and financial condition;
â€¢intense competition in the global apparel industry could lead to reduced sales and prices;
â€¢failure to forecast and respond timely to consumer demand and market conditions and offer on-trend and new and updated products at attractive price points could adversely affect our image and reputation and sales, margins and profitability;
â€¢we depend on a group of key wholesale customers for a significant portion of our revenues, and a significant adverse change in a customer relationship or in a customerâ€™s performance or financial position could harm our business and financial condition;
â€¢our efforts to expand our retail business may not be successful, which could impact our operating results;
â€¢if the implementation of our customer, digital, and omni-channel initiatives is not successful, if we are unable to effectively execute our e-commerce business, or we do not realize the return on our investments in these initiatives that we anticipate, our reputation and operating results would be adversely affected;
â€¢we may be unable to maintain or increase our sales through our third-party distribution channels, which can impact, and has adversely impacted in the past, our net revenues and margins;
â€¢we are a global company with significant revenues and earnings generated internationally, which exposes us to the impact of foreign currency fluctuations, changes to trade policy (including tariff, sanctions and customs regulations) and other domestic and foreign laws and regulations (including tax reform legislation), as well as political and economic risks;
â€¢if we encounter problems with our distribution system, whether company-owned or third-party, our ability to meet customer and consumer expectations, manage inventory, complete sales and achieve operating efficiencies could be adversely affected;
â€¢we face risks arising from restructuring of our operations and uncertainty with respect to our ability to achieve any anticipated cost savings associated with such restructuring;
â€¢any major disruption or failure of our information technology systems, owned by us and third parties, our failure to successfully implement new technology effectively, and risks related to cybersecurity, privacy and data protection could increase costs and adversely affect our business and operations;
â€¢production sources that fail to meet our quality, cost, social and environmental compliance and risk mitigation, and other requirements, or failures by our contract manufacturers to perform, could harm our sales, service levels and reputation;
â€¢our suppliers may be impacted by economic conditions and cycles and changing laws and regulatory requirements which could impact their ability to do business with us or cause us to terminate our relationship with them and require us to find replacements, which we may have difficulty doing;
â€¢if one or more of our counterparty financial institutions default on their obligations to us, we may incur significant losses;
â€¢the loss of members of our executive management and other key employees or the failure to attract and retain key personnel could harm our business;
â€¢most of the employees in our production and distribution facilities are covered by collective bargaining agreements, and any material job actions could negatively affect our results of operations;
â€¢our licensees and franchisees may not comply with our product quality, manufacturing standards, social, environmental, marketing and other requirements, which could negatively affect our reputation and business;
â€¢our success depends on the continued protection of our trademarks and other proprietary intellectual property rights;
â€¢we have substantial liabilities and cash requirements associated with our postretirement benefits, pension and deferred compensation plans;
â€¢natural disasters, public health crises, including the COVID-19 pandemic, political crises, and other catastrophic events or other events outside of our control may damage our facilities or the facilities of third parties on which we depend, and could impact consumer spending;
â€¢our products may experience quality problems that could result in negative publicity, litigation, product recalls and warranty claims, which could result in decreased revenues and harm to our brands;
â€¢climate change may adversely impact our business;
â€¢we have debt and interest payment requirements at a level that may restrict our future operations and restrictions in our notes, indentures and credit facility may limit our activities, including dividend payments, share repurchases and acquisitions; and
â€¢increases in the price or availability of raw materials could increase our cost of goods and negatively impact our financial results.We are subject to periodic claims and litigation that could result in unexpected expenses and could ultimately be resolved against us."
21,59.0,complexity,operations,1,complexity,0.480574905872345,"{'neg': 0.218, 'neu': 0.705, 'pos': 0.077, 'compound': -0.8555}",,"Any failure or perceived failure by us to comply with laws, regulations, policies or regulatory guidance relating to privacy or data security may result in governmental investigations and enforcement actions, litigation, fines and penalties or adverse publicity, and could cause our customers and consumers to lose trust in us, which could have an adverse effect on our reputation and business."
22,60.0,integrated production development ,operations,1,integrated production development ,0.503872811794281,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",,"The principal fibers used in our products include cotton, synthetics and man-made cellulosics that are used to produce fabrics of 100% composition or blends."
23,61.0, distribution platform,operations,1, distribution platform,0.503872811794281,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",,"The principal fibers used in our products include cotton, synthetics and man-made cellulosics that are used to produce fabrics of 100% composition or blends."
24,64.0,Our integrated production development ,operations,1,Our integrated production development ,0.37575623393058777,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",,"The principal fibers used in our products include cotton, synthetics and man-made cellulosics that are used to produce fabrics of 100% composition or blends."
25,66.0,An extended period of global supply chain ,operations,1,An extended period of global supply chain ,0.33422937989234924,"{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.0772}",,Intense competition in the global apparel industry could lead to reduced sales and prices.
26,67.0, economic disruption,operations,1, economic disruption,0.33422937989234924,"{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.0772}",,Intense competition in the global apparel industry could lead to reduced sales and prices.
27,68.0,global economic conditions,operations,1,global economic conditions,0.29463553428649897,"{'neg': 0.044, 'neu': 0.956, 'pos': 0.0, 'compound': -0.2023}",,"The performance and financial condition of a supplier may cause us to alter our business terms or to cease doing business with a particular supplier, or change our sourcing practices generally, which could in turn adversely affect our business and financial condition."
28,69.0,Fluctuations in product costs,operations,-1,Fluctuations in product costs,0.8388346433639526,"{'neg': 0.0, 'neu': 0.887, 'pos': 0.113, 'compound': 0.4939}",,We also monitor ongoing global trade regulations to optimize our supply chain networks in response to changes in tariffs or other trade policies around the world.
29,70.0,workforce,operations,-1,workforce,0.7599013447761536,"{'neg': 0.0, 'neu': 0.954, 'pos': 0.046, 'compound': 0.2263}",,"Over the last several years, we have been and continue to implement modifications and upgrades to our systems, including making changes to legacy systems, replacing legacy systems with successor systems with new functionality and acquiring new systems with new functionality."
30,71.0,Increases in raw material costs ,operations,-1,Increases in raw material costs ,0.7427334189414978,"{'neg': 0.197, 'neu': 0.725, 'pos': 0.078, 'compound': -0.7506}",,"These factors may also have an adverse impact on our cash and working capital needs as well as those of our suppliers.Our business is subject to risks associated with sourcing and manufacturing overseas, as well as risks associated with potential tariffs or a global trade war."
